Age,Gender,Marital_Status,Family_Members,Education,Occupation,Job_Title,Income,Current_Product,Current_Product_Type,Current_Coverage,New_Product_Type,New_Coverage,Rating,target
45.0,M,Married,3.0,NE,SE,DD,1.822075063,Yes,PMT,2000000.0,TLE,15000000.0,Cold,1
42.0,F,Married,9.0,PD,SE,FH,2.421699313,No,NO,0.0,TLE,2000000.0,Cold,0
19.0,F,Single,1.0,LHS,SFT,OM,2.261581269,No,NO,0.0,INV,15000000.0,Warm,1
26.0,M,Married,2.0,PD,SPT,PR,5.243448755,No,NO,0.0,END,3000000.0,Hot,1
55.0,M,Divorced,7.0,MD,SPT,RR,9.88901396,Yes,ANS,15000000.0,INV,5000000.0,Warm,1
44.0,M,Married,10.0,LHS,SE,CB,1.702415522,No,NO,0.0,PMT,1000000.0,Cold,0
21.0,M,Single,5.0,NE,SPT,DD,1.116743944,No,NO,0.0,PMT,1000000.0,Cold,0
58.0,M,Divorced,1.0,PD,SPT,PG,10.0,No,NO,0.0,ANS,4000000.0,Warm,1
21.0,M,Married,2.0,MD,SPT,BA,5.093716587,No,NO,0.0,END,1000000.0,Hot,1
53.0,F,Married,6.0,UHS,SPT,OT,3.13432526,Yes,TLE,1000000.0,ANS,1000000.0,Cold,0
45.0,F,Single,5.0,BD,SPT,BA,6.152765542,No,NO,0.0,PMT,2000000.0,Warm,1
54.0,M,Divorced,9.0,MD,SPT,PR,7.375061102,No,NO,0.0,ANS,15000000.0,Warm,1
28.0,M,Divorced,1.0,MD,SE,FH,1.948385124,Yes,PMT,15000000.0,INV,2000000.0,Cold,0
28.0,F,Single,8.0,BD,SPT,PG,9.340979418,Yes,TLE,2000000.0,END,2000000.0,Hot,1
45.0,M,Divorced,1.0,LHS,SFT,OC,5.292813663,Yes,TLE,4000000.0,ANS,3000000.0,Warm,0
51.0,M,Married,2.0,BD,SPT,BA,7.675220086,Yes,INV,15000000.0,PMT,3000000.0,Warm,0
